Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/8/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Dominican Republic,DOM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,4.59,3.47,2.64,3.02,3.94,4.3,4.6,4.43,4.76,3.46,3.35,3.79,3.62,3.74,4.21,4.75,4.96,5.12,6.09,4.97,2.87,,,
Algeria,DZA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.62,4.79,6.77,6.93,7.92,5.88,4.6,4.67,3.72,2.96,3.35,4.03,4.15,5.08,5.38,5.18,4.87,,,,,,,,
East Asia & Pacific (excluding high income),EAP,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.37426639,21.67428522,23.59338339,23.18742747,22.684155,23.43299852,23.81131168,22.56762471,19.23413474,20.55498438,19.12789145,16.50411034,18.09645122,18.87764719,18.35612056,21.36988911,21.71153983,21.07461926,20.95052747,20.79215159,23.38876502,22.2671589,21.79871061,,,
Early-demographic dividend,EAR,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37478676,10.32071527,10.20982089,9.941733495,10.38020529,10.2761961,10.16168583,9.134256684,8.654795494,10.1121155,9.473520755,8.209979994,8.330278941,8.463619912,8.623868485,9.504414876,9.537970137,9.110983371,8.935968495,9.307067992,10.37173716,9.266979435,8.324017565,,,
East Asia & Pacific,EAS,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.56895499,22.14499276,23.4125205,23.22339269,22.99925,21.57899538,21.65570524,21.83811541,19.38684033,20.94894391,20.25147688,17.93722729,18.67756622,19.04525313,19.49968553,22.34356913,23.10696236,22.9083362,22.76632736,23.01745602,25.72457077,24.89830625,24.1538023,,,
Europe & Central Asia (excluding high income),ECA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.221313986,5.552350416,5.270134051,5.05232513,5.181406109,5.142684883,4.738007143,4.325355776,3.46374349,4.19908639,4.135631404,3.669097301,4.013484741,4.353627741,4.590130218,4.902545514,5.247372674,4.971870887,4.228395991,4.295717369,4.683832382,4.506203425,3.743949652,,,
Europe & Central Asia,ECS,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96987136,11.25227317,10.29483292,9.938715446,10.24539457,10.09971734,9.869402344,8.609771187,7.91895582,7.842570588,8.743940162,7.539832657,7.155020147,7.036744084,7.232961447,7.714556513,7.570281472,7.612220985,7.480057992,7.532310096,8.242848359,7.841766013,6.60474902,,,
Ecuador,ECU,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81,7.89,8.37,10.43,10.83,11.12,7.56,6.79,7.17,6.45,6.29,6.31,6.43,6.64,6.58,5.65,5.62,5.53,5.85,5.73,7.28,5.8,,,,
"Egypt, Arab Rep.",EGY,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,4.62,4.14,3.87,3.33,4.41,4.21,4.29,3.65,3.2,3.75,3.54,3.43,3.55,4.22,4.47,4.21,4.01,5.07,5.76,3.99,4.85,2.55,,,
Euro area,EMU,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.986604,11.56215215,10.47680874,10.21916494,10.49715315,10.37513853,9.853474063,8.568978281,7.895550453,8.124453351,8.572341552,7.337672511,7.009463473,6.825669424,7.048289234,7.514841102,7.510366532,7.561686025,7.323483416,7.450823973,8.118865002,7.579834922,6.270825269,,,
Eritrea,ERI,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,7.77,7.03,6.89,7.31,7.23,7.34,7.38,7.91,6.46,6.62,5.16,4.57,4.53,4.64,5.05,4.98,5.1,4.96,5.08,5.8,5.28,4.33,,,
